"Part";"Value";"Device";"Package";"Description";"ALLIED_NUMBER";"ALLIED_PRICE-STOCK";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"RS_PART_NUMBER";"RS_PRICE-STOCK";
"BR1";"CS1M-E3_H";"CS1M-E3_H";"DIOM5127X229N";"1A, 1000V, SMA, STD GPP SM REC";"";"";"";"";"1A, 1000V, SMA, STD GPP SM REC";"2.29mm";"Vishay";"CS1M-E3/H";"78-CS1M-E3/H";"https://www.mouser.co.uk/ProductDetail/Vishay-Semiconductors/CS1M-E3-H?qs=rKqJIm0tnYHmxMgyZiw7hg%3D%3D";"";"";
"BR2";"CS1M-E3_H";"CS1M-E3_H";"DIOM5127X229N";"1A, 1000V, SMA, STD GPP SM REC";"";"";"";"";"1A, 1000V, SMA, STD GPP SM REC";"2.29mm";"Vishay";"CS1M-E3/H";"78-CS1M-E3/H";"https://www.mouser.co.uk/ProductDetail/Vishay-Semiconductors/CS1M-E3-H?qs=rKqJIm0tnYHmxMgyZiw7hg%3D%3D";"";"";
"C1";"KRM55WC71E107MH13L";"KRM55WC71E107MH13L";"CAPC6153X670N";"Capacitor KRM55 L=6.1mm W=5.3mm T=6.4mm";"";"";"";"";"Capacitor KRM55 L=6.1mm W=5.3mm T=6.4mm";"6.7mm";"Murata Electronics";"KRM55WC71E107MH13L";"81-KRM55WC71E107MH3L";"https://www.mouser.co.uk/ProductDetail/Murata-Electronics/KRM55WC71E107MH13L?qs=rrS6PyfT74e7c6qJ%252BBHpFw%3D%3D";"";"";
"IC1";"74HC04D-Q100,118";"74HC04D-Q100,118";"SOIC127P600X175-14N";"74HC(T)04-Q100 - Hex inverter@en-us";"";"";"";"";"74HC(T)04-Q100 - Hex inverter@en-us";"1.75mm";"Nexperia";"74HC04D-Q100,118";"771-74HC04D-Q100";"https://www.mouser.co.uk/ProductDetail/Nexperia/74HC04D-Q100118?qs=1sbE9T7hb3aCZG2r%2FgRdOw%3D%3D";"";"";
"IC2";"CNY17F-3X007";"CNY17F-3X007";"SOP254P1030X440-6N";"Transistor Output Optocouplers Phototransistor Out Single CTR 100-200%";"";"";"";"";"Transistor Output Optocouplers Phototransistor Out Single CTR 100-200%";"4.4mm";"Vishay";"CNY17F-3X007";"782-CNY17F-3X007";"https://www.mouser.com/Search/Refine.aspx?Keyword=782-CNY17F-3X007";"";"";
"IC3";"CNY17F-3X007";"CNY17F-3X007";"SOP254P1030X440-6N";"Transistor Output Optocouplers Phototransistor Out Single CTR 100-200%";"";"";"";"";"Transistor Output Optocouplers Phototransistor Out Single CTR 100-200%";"4.4mm";"Vishay";"CNY17F-3X007";"782-CNY17F-3X007";"https://www.mouser.com/Search/Refine.aspx?Keyword=782-CNY17F-3X007";"";"";
"J1";"N2534-6V0C-RB-WF";"N2534-6V0C-RB-WF";"3M_N2534-6V0C-RB-WF";"Header";"";"";"";"";"Header";"mm";"3M";"N2534-6V0C-RB-WF";"517-N2534-6V0C-RB-WF";"https://www.mouser.co.uk/ProductDetail/3M-Electronic-Solutions-Division/N2534-6V0C-RB-WF?qs=Lbk6Md3wKLv0ax0Gs1M41Q%3D%3D";"0212650";"http://uk.rs-online.com/web/p/products/0212650";
"J2";"73131-0240";"73131-0240";"731310240";"RF Connectors / Coaxial Connectors 50 OHM BNC JACK R/A R/A PCB RECEPTACLE";"";"";"73131-0240";"";"RF Connectors / Coaxial Connectors 50 OHM BNC JACK R/A R/A PCB RECEPTACLE";"18.6mm";"Molex";"73131-0240";"538-73131-0240";"https://www.mouser.co.uk/ProductDetail/Molex/73131-0240?qs=zjYOnnZgb1sGqulDfbggfg%3D%3D";"";"";
"J3";"73131-0240";"73131-0240";"731310240";"RF Connectors / Coaxial Connectors 50 OHM BNC JACK R/A R/A PCB RECEPTACLE";"";"";"73131-0240";"";"RF Connectors / Coaxial Connectors 50 OHM BNC JACK R/A R/A PCB RECEPTACLE";"18.6mm";"Molex";"73131-0240";"538-73131-0240";"https://www.mouser.co.uk/ProductDetail/Molex/73131-0240?qs=zjYOnnZgb1sGqulDfbggfg%3D%3D";"";"";
"J4";"73131-0240";"73131-0240";"731310240";"RF Connectors / Coaxial Connectors 50 OHM BNC JACK R/A R/A PCB RECEPTACLE";"";"";"73131-0240";"";"RF Connectors / Coaxial Connectors 50 OHM BNC JACK R/A R/A PCB RECEPTACLE";"18.6mm";"Molex";"73131-0240";"538-73131-0240";"https://www.mouser.co.uk/ProductDetail/Molex/73131-0240?qs=zjYOnnZgb1sGqulDfbggfg%3D%3D";"";"";
