Reference, Quantity, Value, Footprint, Datasheet, Item Cost, MFN, Supplier, Supplier P/N
C1 ,1,"1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://content.kemet.com/datasheets/KEM_C1006_X5R_SMD.pdf","0.33","C0805C105K5PAC7800","Digi-Key","399-15436-1-ND"
C2 ,1,"0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://content.kemet.com/datasheets/KEM_C1005_Y5V_SMD.pdf","0.10","C0805C104Z5VACTU","Digi-Key","399-1177-1-ND"
D1 D2 D4 D6 ,4,"1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","0.31","XLUR34D","Digi-Key","1497-1491-ND"
J1 ,1,"Jack-DC","Connector_BarrelJack:BarrelJack_Horizontal","~","1.00","CON-SOCJ-2155","Mouser","992-CON-SOCJ-2155"
J4 J5 J6 J8 J10 J11 J12 ,7,"73131-0240","chen-lab:BNC-Chen","https://www.molex.com/pdm_docs/sd/731310240_sd.pdf","8.16","0731310240","Digi-Key","WM5378-ND"
J13 J14 ,2,"Conn_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","https://www.we-online.com/catalog/datasheet/691305540002.pdf","1.09","691305540002","Digi-Key","732-13739-ND"
J15 ,1,"Conn_02x13_test_points","Connector_PinHeader_2.54mm:PinHeader_2x13_P2.54mm_Vertical","https://media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/961_2.54mm_StraightSolderTail_DS.pdf","1.96","961226-6404-AR","Digi-Key","3M9466-26-ND"
J2 ,1,"Conn_02x17_Ribbon","Connector_PinHeader_2.54mm:PinHeader_2x17_P2.54mm_Vertical","https://multimedia.3m.com/mws/media/555044O/3m-interconnect-products-shortform-catalog.pdf","2.55","D2534-6002-AR","Digi-Key","MHC34E-ND"
J3 J7 J9 J16 J17 J18 ,6,"TB002-500-03BE","TerminalBlock:TerminalBlock_bornier-3_P5.08mm","https://www.cuidevices.com/product/resource/tb002-500.pdf","0.88","TB002-500-03BE","Digi-Key","102-6146-ND"
Q1 Q2 ,2,"BD139","Package_TO_SOT_THT:TO-126-3_Vertical","https://media.digikey.com/pdf/Data%20Sheets/ON%20Semiconductor%20PDFs/BD135,137,139.pdf","0.46","BD13916S","Digi-Key","BD13916S-ND"
Q3 Q4 ,2,"2N3906","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF","0.21","2N3906BU","Digi-Key","2N3906FS-ND"
R10 R12 ,2,"1.5k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.koaspeer.com/pdfs/RK73B.pdf","0.10","RK73B2ATTD152J","Digi-Key","2019-RK73B2ATTD152JCT-ND"
R1 R2 R3 R4 ,4,"620","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","http://www.koaspeer.com/pdfs/RK73H.pdf","0.10","RK73H2ATTD6200F","Digi-Key","2019-RK73H2ATTD6200FCT-ND"
R5 R6 ,2,"390","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","http://www.koaspeer.com/pdfs/RK73B.pdf","0.10","RK73B2ATTD391J","Digi-Key","2019-RK73B2ATTD391JCT-ND"
R7 R8 ,2,"20k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","http://www.koaspeer.com/pdfs/RK73B.pdf","0.10","RK73B2ATTD203J","Digi-Key","2019-RK73B2ATTD203JCT-ND"
U1 ,1,"74HC04","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","https://www.ti.com/lit/ds/symlink/sn74ls04.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1609866968763","0.73","SN74LS04N","Digi-Key","296-1629-5-ND"
U3 U4 ,2,"4N25","Package_DIP:DIP-6_W7.62mm","https://www.vishay.com/docs/83725/4n25.pdf","0.60","4N25","Digi-Key","4N25VS-ND"
